numero,grupo_parlamentario,congresista,asistencia
1,APP,"ACUÑA PERALTA, MARÍA GRIMANEZA",PRE
2,APP,"ACUÑA PERALTA, SEGUNDO HÉCTOR",PRE
3,PL,"AGÜERO GUTIÉRREZ, MARÍA ANTONIETA",AUS
4,FP,"AGUINAGA RECUENCO, ALEJANDRO AURELIO",PRE
5,SP,"ALCARRAZ AGUERO, YOREL KIRA",PRE
6,FP,"ALEGRÍA GARCÍA, ARTURO",PRE
7,AP,"ALVA PRIETO, MARÍA DEL CARMEN",AUS
8,AP,"ALVA ROJAS, CARLOS ENRIQUE",PRE
9,AP-PIS,"AMURUZ DULANTO, YESSICA ROSSELLI",PRE
10,PP,"ANDERSON RAMÍREZ, CARLOS ANTONIO",AUS
11,AP,"ARAGÓN CARREÑO, LUIS ÁNGEL",PRE
12,AP,"ARRIOLA TUEROS, JOSÉ ALBERTO",AUS
13,SP,"AZURÍN LOAYZA, ALFREDO",PRE
14,PL,"BALCÁZAR ZELADA, JOSÉ MARÍA",PRE
15,FP,"BARBARÁN REYES, ROSANGELLA ANDREA",PRE
16,AP-PIS,"BAZÁN CALDERÓN, DIEGO ALONSO FERNANDO",PRE
17,JP,"BAZÁN NARRO, SIGRID TESORO",PRE
18,PL,"BELLIDO UGARTE, GUIDO",PRE
19,PL,"BERMEJO ROJAS, GUILLERMO",AUS
20,AP-PIS,"BURGOS OLIVEROS, JUAN BARTOLOMÉ",AUS
21,FP,"BUSTAMANTE DONAYRE, ERNESTO",PRE
22,PP,"CALLE LOBATÓN, DIGNA",PRE
23,APP,"CAMONES SORIANO, LADY MERCEDES",AUS
24,FP,"CASTILLO RIVAS, EDUARDO ENRIQUE",PRE
25,AP-PIS,"CAVERO ALVA, ALEJANDRO ENRIQUE",PRE
26,PL,"CERRÓN ROJAS, WALDEMAR JOSÉ",PRE
27,FP,"CHACÓN TRUJILLO, NILZA MERLY",PRE
28,PL,"CHÁVEZ CHINO, BETSSY BETZABET",LO
29,APP,"CHIABRA LEÓN, ROBERTO ENRIQUE",PRE
30,AP-PIS,"CHIRINOS VENEGAS, PATRICIA ROSA",AUS
31,RP,"CICCIA VÁSQUEZ, MIGUEL ANGEL",PRE
32,PL,"COAYLA JUÁREZ, JORGE SAMUEL",PRE
33,FP,"CORDERO JON TAY, LUIS GUSTAVO",PRE
34,FP,"CORDERO JON TAY, MARÍA DEL PILAR",PRE
35,AP-PIS,"CÓRDOVA LOBATÓN, MARÍA JESSICA",AUS
36,JP,"CORTEZ AGUIRRE, ISABEL",PRE
37,PL,"CRUZ MAMANI, FLAVIO",PRE
38,RP,"CUETO ASERVI, JOSÉ ERNESTO",PRE
