numero,grupo_parlamentario,congresista,asistencia
1,APP,ACUÑA PERALTA MARÍA GRIMANEZA,PRE
2,APP,ACUÑA PERALTA SEGUNDO HÉCTOR,PRE
3,PL,AGÜERO GUTIÉRREZ MARÍA ANTONIETA,PRE
4,FP,AGUINAGA RECUENCO ALEJANDRO AURELIO,PRE
5,SP-PM,ALCARRAZ AGUERO YOREL KIRA,PRE
6,FP,ALEGRÍA GARCÍA ARTURO,PRE
7,AP,ALVA PRIETO MARÍA DEL CARMEN,PRE
8,AP,ALVA ROJAS CARLOS ENRIQUE,PRE
9,AVP,AMURUZ DULANTO YESSICA ROSSELLI,PRE
10,PP,ANDERSON RAMÍREZ CARLOS ANTONIO,PRE
11,AP,ARAGÓN CARREÑO LUIS ÁNGEL,AUS
12,AP,ARRIOLA TUEROS JOSÉ ALBERTO,AUS
13,SP-PM,AZURÍN LOAYZA ALFREDO,PRE
14,PL,BALCÁZAR ZELADA JOSÉ MARÍA,AUS
15,FP,BARBARÁN REYES ROSANGELLA ANDREA,AUS
16,RP,BAZÁN CALDERÓN DIEGO ALONSO FERNANDO,AUS
17,JPP,BAZÁN NARRO SIGRID TESORO,PRE
18,PL,BELLIDO UGARTE GUIDO,AUS
19,PL,BERMEJO ROJAS GUILLERMO,PRE
20,AVP,BURGOS OLIVEROS JUAN BARTOLOMÉ,AUS
21,FP,BUSTAMANTE DONAYRE ERNESTO,PRE
22,PP,CALLE LOBATÓN DIGNA,PRE
23,APP,CAMONES SORIANO LADY MERCEDES,PRE
24,FP,CASTILLO RIVAS EDUARDO ENRIQUE,PRE
25,AVP,CAVERO ALVA ALEJANDRO ENRIQUE,PRE
26,PL,CERRÓN ROJAS WALDEMAR JOSÉ,PRE
27,FP,CHACÓN TRUJILLO NILZA MERLY,PRE
28,PL,CHÁVEZ CHINO BETSSY BETZABET,AUS
29,APP,CHIABRA LEÓN ROBERTO ENRIQUE,PRE
30,AVP,CHIRINOS VENEGAS PATRICIA ROSA,PRE
31,RP,CICCIA VÁSQUEZ MIGUEL ANGEL,AUS
32,PL,COAYLA JUÁREZ JORGE SAMUEL,PRE
33,FP,CORDERO JON TAY LUIS GUSTAVO,PRE
34,FP,CORDERO JON TAY MARÍA DEL PILAR,PRE
35,RP,CÓRDOVA LOBATÓN MARÍA JESSICA,AUS
36,JPP,CORTEZ AGUIRRE ISABEL,AUS
37,PL,CRUZ MAMANI FLAVIO,PRE
38,RP,CUETO ASERVI JOSÉ ERNESTO,PRE
39,PL,CUTIPA CCAMA VÍCTOR RAÚL,PRE
40,PL,DÁVILA ATANACIO PASIÓN NEOMIAS,PRE
