numero,grupo_parlamentario,congresista,votacion,
1,APP,"ACUÑA PERALTA, MARÍA GRIMANEZA",SI,
2,APP,"ACUÑA PERALTA, SEGUNDO HÉCTOR",AUS,
3,PL,"AGÜERO GUTIÉRREZ, MARÍA ANTONIETA",SI,
4,FP,"AGUINAGA RECUENCO, ALEJANDRO AURELIO",SI,
5,SP-PM,"ALCARRAZ AGUERO, YOREL KIRA",SI,
6,FP,"ALEGRÍA GARCÍA, ARTURO",SI,
7,AP,"ALVA PRIETO, MARÍA DEL CARMEN",AUS, 
8,AP,"ALVA ROJAS, CARLOS ENRIQUE",SI,
9,AVP,"AMURUZ DULANTO, YESSICA ROSSELLI",SI,
10,PP,"ANDERSON RAMÍREZ, CARLOS ANTONIO",SI,
11,AP,"ARAGÓN CARREÑO, LUIS ÁNGEL",SI,
12,AP,"ARRIOLA TUEROS, JOSÉ ALBERTO",SI,
13,SP-PM,"AZURÍN LOAYZA, ALFREDO",SI,
14,PL,"BALCÁZAR ZELADA, JOSÉ MARÍA",AUS,
15,FP,"BARBARÁN REYES, ROSANGELLA ANDREA",SI,
16,AVP,"BAZÁN CALDERÓN, DIEGO ALONSO FERNANDO",SI,
17,JPP,"BAZÁN NARRO, SIGRID TESORO",SI,
18,PL,"BELLIDO UGARTE, GUIDO",LO,
19,PL,"BERMEJO ROJAS, GUILLERMO",SI,
20,AVP,"BURGOS OLIVEROS, JUAN BARTOLOMÉ",AUS,
21,FP,"BUSTAMANTE DONAYRE, ERNESTO",SINRES,
22,PP,"CALLE LOBATÓN, DIGNA",SI,
23,APP,"CAMONES SORIANO, LADY MERCEDES",LO,
24,FP,"CASTILLO RIVAS, EDUARDO ENRIQUE",AUS,
25,AVP,"CAVERO ALVA, ALEJANDRO ENRIQUE",SI,
26,PL,"CERRÓN ROJAS, WALDEMAR JOSÉ",SI,
27,FP,"CHACÓN TRUJILLO, NILZA MERLY",SI,
28,PL,"CHÁVEZ CHINO, BETSSY BETZABET",SI,
29,APP,"CHIABRA LEÓN, ROBERTO ENRIQUE",SI,
30,AVP,"CHIRINOS VENEGAS, PATRICIA ROSA",SI,
31,RP,"CICCIA VÁSQUEZ, MIGUEL ANGEL",SI,
32,PL,"COAYLA JUÁREZ, JORGE SAMUEL",SI,
