metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Primera Legislatura Ordinaria
sesion,Asistencia a la sesión solemne del 09-12-2021
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/8AAB5B9E982B410A052587AC00519371/$FILE/Asis_vot_PROVISIONAL_09-12-21.pdf
dia,2021-12-09
hora,12:53
asunto,"TEXTO SUSTITUTORIO DEL PROYECTO DE LEY 198, QUE POPONE LA LEY QUE DECLARA DE INTERÉS NACIONAL LA CREACIÓN DE UNIVERSIDADES PÚBLICAS Y FILIALES QUE HAYAN OBTENIDO EL LICENCIAMIENTO INSTITUCIONAL"
presidente,"ALVA PRIETO, MARÍA DEL CARMEN"
quorum,65
