metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Primera Legislatura Ordinaria
sesion,SESIÓN VIRTUAL DEL PLENO DEL CONGRESO DE LA REPÚBLICA
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/807EF3A0C55FD41705258767005C0085/$FILE/Asis_vot_OFICIAL_29-09-2021.pdf
dia,2021-09-29
hora,19:55
asunto,"TEXTO SUSTITUTORIO DEL PROYECTO DE RESOLUCIÓN LEGISLATIVA DEL CONGRESO 254, REGLAMENTO PARA LA SELECCIÓN DE CANDIDATAS O CANDIDATOS APTOS PARA LA ELECCIÓN DE MAGISTRADOS DEL TRIBUNAL CONSTITUCIONAL "
presidente,"ALVA PRIETO, MARÍA DEL CARMEN"
quorum,63
