metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Primera Legislatura Ordinaria
sesion,Sesión virtual del 13 de enero de 2022
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/1301E580ECD7F2D8052587D000541778/$FILE/Asis_vot_OFICIAL_13-01-2022_3.pdf
dia,2022-01-13
hora,10:51
asunto,"CUESTIÓN PREVIA PARA QUE RETORNEN A LA COMISIÓN DE CONSTITUCIÓN LOS PROYECTOS DE LEY 149 Y 184, QUE PROPONEN LA LEY QUE ESTABLECE REQUISITOS MÍNIMOS PARA EL ACCESO A LA FUNCIÓN Y SERVICIO PÚBLICO DE FUNCIONARIOS PÚBLICOS DE LIBRE DESIGNACIÓN Y REMOCIÓN Y PERSONAL DE CONFIANZA"
presidente,"ALVA PRIETO, MARÍA DEL CARMEN"
quorum,64
