numero,grupo_parlamentario,congresista,votacion
1,APP,"ACUÑA PERALTA, MARÍA GRIMANEZA",NO
2,APP,"ACUÑA PERALTA, SEGUNDO HÉCTOR",NO
3,PL,"AGÜERO GUTIÉRREZ, MARÍA ANTONIETA",LE
4,FP,"AGUINAGA RECUENCO, ALEJANDRO AURELIO",SI
5,SP,"ALCARRAZ AGUERO, YOREL KIRA",NO
6,FP,"ALEGRÍA GARCÍA, ARTURO",SI
7,AP,"ALVA PRIETO, MARÍA DEL CARMEN",SINRES
8,AP,"ALVA ROJAS, CARLOS ENRIQUE",SI
9,AP-PIS,"AMURUZ DULANTO, YESSICA ROSSELLI",SI
10,PP,"ANDERSON RAMÍREZ, CARLOS ANTONIO",NO
11,AP,"ARAGÓN CARREÑO, LUIS ÁNGEL",NO
12,AP,"ARRIOLA TUEROS, JOSÉ ALBERTO",SI
13,SP,"AZURÍN LOAYZA, ALFREDO",SI
14,PL,"BALCÁZAR ZELADA, JOSÉ MARÍA",NO
15,FP,"BARBARÁN REYES, ROSANGELLA ANDREA",SI
16,AP-PIS,"BAZÁN CALDERÓN, DIEGO ALONSO FERNANDO",AUS
17,JP,"BAZÁN NARRO, SIGRID TESORO",NO
18,PL,"BELLIDO UGARTE, GUIDO",SI
19,PD,"BERMEJO ROJAS, GUILLERMO",AUS
20,AP-PIS,"BURGOS OLIVEROS, JUAN BARTOLOMÉ",SI
21,FP,"BUSTAMANTE DONAYRE, ERNESTO",SI
22,PP,"CALLE LOBATÓN, DIGNA",SI
23,APP,"CAMONES SORIANO, LADY MERCEDES",NO
24,FP,"CASTILLO RIVAS, EDUARDO ENRIQUE",SI
25,AP-PIS,"CAVERO ALVA, ALEJANDRO ENRIQUE",AUS
26,PL,"CERRÓN ROJAS, WALDEMAR JOSÉ",SI
27,FP,"CHACÓN TRUJILLO, NILZA MERLY",SI
28,PD,"CHÁVEZ CHINO, BETSSY BETZABET",LO
29,APP,"CHIABRA LEÓN, ROBERTO ENRIQUE",NO
30,AP-PIS,"CHIRINOS VENEGAS, PATRICIA ROSA",AUS
31,RP,"CICCIA VÁSQUEZ, MIGUEL ANGEL",SI
32,PL,"COAYLA JUÁREZ, JORGE SAMUEL",ABST
33,FP,"CORDERO JON TAY, LUIS GUSTAVO",SI
34,FP,"CORDERO JON TAY, MARÍA DEL PILAR",SI
35,AP-PIS,"CÓRDOVA LOBATÓN, MARÍA JESSICA",NO
36,JP,"CORTEZ AGUIRRE, ISABEL",NO
37,PL,"CRUZ MAMANI, FLAVIO",NO
38,RP,"CUETO ASERVI, JOSÉ ERNESTO",SI
39,PL,"CUTIPA CCAMA, VÍCTOR RAÚL",NO
40,PL,"DÁVILA ATANACIO, PASIÓN NEOMIAS",SI
41,APP,"DÍAZ MONAGO, FREDDY RONALD",ABST
42,AP,"DOROTEO CARBAJO, RAÚL FELIPE",AUS
43,APP,"ECHAÍZ DE NÚÑEZ IZAGA, GLADYS MARGOT",AUS
44,PD,"ECHEVERRÍA RODRÍGUEZ, HAMLET",NO
45,SP,"ELERA GARCÍA, WILMAR ALBERTO",NO
46,PP,"ELÍAS ÁVALOS, JOSÉ LUIS",AUS
47,AP,"ESPINOZA VARGAS, JHAEC DARWIN",AUS
48,AP,"FLORES ANCACHI, JORGE LUIS",SI
49,PL,"FLORES RAMÍREZ, ALEX RANDU",NO
50,FP,"FLORES RUÍZ, VÍCTOR SEFERINO",SI
51,APP,"GARCÍA CORREA, IDELSO MANUEL",NO
52,PL,"GONZA CASTILLO, AMERICO",SI
53,AP-PIS,"GONZALES DELGADO, DIANA CAROLINA",NO
54,FP,"GUERRA GARCÍA, CAMPOS HERNANDO",SI
55,PL,"GUTIÉRREZ TICONA, PAUL SILVIO",SI
56,RP,"HERRERA MEDINA, NOELIA ROSSVITH",SI
57,FP,"HUAMÁN CORONADO, RAÚL",SI
58,FP,"INFANTES CASTAÑEDA, MERY ELIANA",SI
59,RP,"JÁUREGUI MARTÍNEZ DE AGUAYO, MARÍA DE LOS MILAGROS JACKELINE",SI
60,SP,"JERI ORÉ, JOSÉ ENRIQUE",SI
61,FP,"JIMÉNEZ HEREDIA, DAVID JULIO",SI
62,APP,"JUÁREZ CALLE, HEIDY LISBETH",NO
63,FP,"JUÁREZ GALLEGOS, CARMEN PATRICIA",SI
64,APP,"JULON IRIGOIN, ELVA EDHIT",NO
65,PD,"KAMICHE MORANTE, LUIS ROBERTO",LE
66,PD,"LIMACHI QUISPE, NIEVES ESMERALDA",NO
67,FP,"LIZARZABURU LIZARZABURU, JUAN CARLOS MARTIN",SI
68,FP,"LÓPEZ MORALES, JENY LUZ",SI
69,AP,"LÓPEZ UREÑA, ILICH FREDY",SINRES
70,PP,"LUNA GÁLVEZ, JOSÉ LEÓN",SI
71,JP,"LUQUE IBARRA, RUTH",NO
72,NA,"MÁLAGA TRILLO, GEORGE EDWARD",NO
73,PL,"MARTICORENA MENDOZA, JORGE ALFONSO",NO
74,AP,"MARTÍNEZ TALAVERA, PEDRO EDWIN",SI
75,PL,"MEDINA HERMOSILLA, ELIZABETH SARA",AUS
