metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Segunda Legislatura Ordinaria
sesion,Sesión virtual del 7 de abril de 2022
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/C2160BA5634F875F05258829005CBD64/$FILE/Asis_vot_OFICIAL_07-04-2022.pdf
dia,2022-04-07
hora,13:39
asunto,"TEXTO SUSTITUTORIO DEL PROYECTO DE LEY 158, QUE PROPONE INCORPORAR EL ARTÍCULO 147-A A LA LEY 29571, CÓDIGO DE PROTECCIÓN Y DEFENSA DEL CONSUMIDOR, PROMOVIENDO LA ASISTENCIA DEL PROVEEDOR A LA AUDIENCIA DE CONCILIACIÓN"
presidente,"CAMONES SORIANO, LADY MERCEDES"
quorum,61
