pleno,congresista,grupo_anterior,grupo_nuevo
2022-11-17,"BELLIDO UGARTE, GUIDO",PL,NA
2022-05-12,"DÁVILA ATANACIO, PASIÓN NEOMIAS",PL,NA
2022-05-12,"GUTIÉRREZ TICONA, PAUL SILVIO",PL,NA
2022-05-12,"MEDINA HERMOSILLA, ELIZABETH SARA",PL,NA
2022-05-12,"PAREDES CASTRO, FRANCIS JHASMINA",PL,NA
2022-05-12,"PAREDES GONZALES, ALEX ANTONIO",PL,NA
2022-05-12,"QUIROZ BARBOZA, SEGUNDO TEODOMIRO",PL,NA
2022-05-12,"TACURI VALDIVIA, GERMÁN ADOLFO",PL,NA
2022-05-12,"TELLO MONTES, NIVARDO EDGAR",PL,NA
2022-05-12,"UGARTE MAMANI, JHAKELINE KATY",PL,NA
2022-05-12,"VÁSQUEZ VELA, LUCINDA",PL,NA
2022-05-04,"BAZÁN NARRO, SIGRID TESORO",CD,CD-JPP
2022-05-04,"CORTEZ AGUIRRE, ISABEL",CD,CD-JPP
2022-05-04,"LUQUE IBARRA, RUTH",CD,CD-JPP
2022-05-04,"REYMUNDO MERCADO, EDGARD CORNELIO",CD,CD-JPP
2022-05-04,"SÁNCHEZ PALOMINO, ROBERTO HELBERT",CD,CD-JPP
2021-07-26,"MÁLAGA TRILLO, GEORGE EDWARD",NA,SP
2021-07-26,"PABLO MEDINA, FLOR AIDEE",NA,SP
2021-07-26,"PAREDES PIQUÉ, SUSEL ANA MARÍA",NA,SP
2021-07-26,"VALER PINTO, HÉCTOR",RP,NA
