grupo_parlamentario,grupo_parlamentario_descripcion
AP,ACCIÓN POPULAR
AP-PIS,AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL
APAIS,AVANZA PAÍS
APP,ALIANZA PARA EL PROGRESO
BM,BLOQUE MAGISTERIAL DE CONCERTACIÓN NACIONAL
CD,CAMBIO DEMOCRÁTICO
CD-JPP,CAMBIO DEMOCRÁTICO - JUNTOS POR EL PERÚ
ID,INTEGRIDAD Y DESARROLLO
FP,FUERZA POPULAR
JP,JUNTOS POR EL PERÚ
NA,NO AGRUPADOS
PB,PERÚ BICENTENARIO
PD,PERÚ DEMOCRÁTICO
PL,PERÚ LIBRE
PP,PODEMOS PERÚ
RP,RENOVACIÓN POPULAR
SP,SOMOS PERÚ
SP-PM,SOMOS PERÚ - PARTIDO MORADO
ID,INTEGRIDAD Y DESARROLLO

