periodo_parlamentario,periodo_anual,legislatura,fecha,titulo,url,filename,paginas,provisional
2021-2026,2023-2024,Primera Legislatura Ordinaria,2023-11-16,"Asistencias y votaciones PROVISIONALES de la sesión vespertina del 16-11-2023",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/507261CFA684E01E05258A6A0004C7E3/$FILE/Asis_votac_PROVISIONAL_vespertina_16-11-23.pdf,Asis_votac_PROVISIONAL_vespertina_16-11-23.pdf,0,true
2021-2026,2023-2024,Primera Legislatura Ordinaria,2023-11-16,"Asistencias y votaciones PROVISIONALES de la sesión matinal del 16-11-2023",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/E20CD61D088EB63C05258A690061F39E/$FILE/Asis_votac_PROVISIONAL_matinal_16-11-23.pdf,Asis_votac_PROVISIONAL_matinal_16-11-23.pdf,0,true
2021-2026,2023-2024,Primera Legislatura Ordinaria,2023-11-15,"Asistencias y votaciones PROVISIONALES de la sesión del 15-11-2023",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/D47CC36463F73E5A05258A690004779B/$FILE/Asis_vot_PROVISIONAL_15-11-23.pdf,Asis_vot_PROVISIONAL_15-11-23.pdf,0,true
2021-2026,2023-2024,Primera Legislatura Ordinaria,2023-11-09,"Asistencias y votaciones PROVISIONALES de la sesión matinal del 9-11-2023",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/78840762D59F527205258A6200633D8B/$FILE/Asis_vot_PROVISIONALES_Matinal_9-11-23.pdf,Asis_vot_PROVISIONALES_Matinal_9-11-23.pdf,0,true
2021-2026,2023-2024,Primera Legislatura Ordinaria,2023-11-09,"Asistencia y votaciones PROVISIONALES de la sesión vespertina del 9-11-23",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/68CF30F919C9C8E805258A62008029E3/$FILE/Asis_vot_PROVISIONALES_Vespertina_9-11-23.pdf,Asis_vot_PROVISIONALES_Vespertina_9-11-23.pdf,0,true
2021-2026,2023-2024,Primera Legislatura Ordinaria,2023-11-08,"Asistencia de la sesión del 08-11-2023",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/2F753375F77B37C605258A61007989CD/$FILE/Asis_OFICIAL_08-11-23.pdf,Asis_OFICIAL_08-11-23.pdf,1,false
2021-2026,2023-2024,Primera Legislatura Ordinaria,2023-11-07,"Asistencia de la sesión del 07-11-2023",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/DE7753F6843E9CA505258A61006B4C92/$FILE/Asis_OFICIAL_7-11-23.pdf,Asis_OFICIAL_7-11-23.pdf,1,false
2021-2026,2023-2024,Primera Legislatura Ordinaria,2023-11-02,"Asistencias y votaciones de la sesión del 02-11-2023",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/675F492B20FB2F4E05258A66006C7D0D/$FILE/Asis_vot_OFICIAL_02-11-2023.pdf,Asis_vot_OFICIAL_02-11-2023.pdf,0,false
2021-2026,2023-2024,Primera Legislatura Ordinaria,2023-10-30,"Asistencias y votación de la sesión del 30-10-2023",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/5DBCE3C26221129E05258A5900789573/$FILE/Asis_vot_OFICIAL_30-10-23.pdf,Asis_vot_OFICIAL_30-10-23.pdf,3,false
2021-2026,2023-2024,Primera Legislatura Ordinaria,2023-10-20,"Asistencias y votaciones de la sesión del 20-10-2023",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/FE7A33721D4EADD305258A58005C8581/$FILE/Asis_vot_OFICIAL_20-10-23.pdf,Asis_vot_OFICIAL_20-10-23.pdf,7,false
